0,1,2
20.780317,-2.181419,4.2602453
-12.029401,19.096518,11.114534
21.677063,2.8443048,-3.7567852
-23.020733,2.6375105,-1.9554644
-4.9995785,24.35425,-0.7062378
11.088773,-12.528521,-1.2975914
-17.541424,13.377482,10.002753
5.9140224,1.7485065,-4.5416164
13.322148,-0.7082588,-16.296412
3.5858736,-5.927641,-21.610586
-0.0025508956,14.866071,-4.6301913
-3.853059,13.593891,9.570941
0.5226965,-10.283154,-19.092627
11.010289,-3.5215394,-5.2904916
-18.933006,9.016187,-17.726599
-19.645248,-14.192554,-1.2022195
0.851367,3.1493466,24.052013
-17.944017,10.7610655,3.712579
-5.0486684,0.7504345,16.24353
9.34084,8.852568,-2.3384728
1.1510482,17.890244,-19.841852
6.1868095,20.865099,10.363376
-8.497879,3.9978223,18.424395
-5.4529614,2.8718657,-19.341879
-24.614119,-6.2276134,-7.3921933
-13.319565,13.217866,9.86892
6.633731,7.50159,16.147236
4.7447557,7.399702,-17.953896
4.4256177,17.350494,2.7664604
2.378199,14.247321,-14.261341
4.9930725,5.4692574,20.876644
9.634431,4.928644,20.18868
3.013968,10.935128,-22.645208
10.489298,4.8606057,-9.943403
-10.892649,-1.376665,0.48920867
23.547676,-1.5383097,4.121084
17.598051,-3.1784067,18.691204
1.4028095,-25.276321,-2.8629599
-4.521039,-13.228197,7.1521635
15.420735,5.881781,15.4751005
11.940193,11.902035,-2.8268824
-18.513664,-1.2224047,3.5144575
14.104205,-19.64052,6.3085036
-15.281602,-18.800299,-10.592214
-13.961209,3.4067037,-13.591404
15.430651,8.678366,-5.0904775
19.675262,10.903453,-1.9148424
4.629387,-3.9488692,7.3140306
3.998682,-10.82871,1.3124592
17.968145,-9.525017,9.221773
-9.777609,7.9390106,-16.235895
0.012499004,6.5102415,13.419073
-9.096538,-9.292443,-7.653077
-17.947237,-16.133926,8.0081215
-16.24128,1.3247842,-15.535828
-7.717993,-16.358006,9.586889
-3.6719074,-17.55551,13.19508
-2.3779583,-25.386354,7.0037
6.1931925,-13.818266,-8.254066
-14.0533285,15.484282,2.6171372
-12.121139,-7.5174336,-3.901541
6.309752,10.1196785,-22.554594
-3.5516102,10.758186,12.102021
-9.197114,19.016954,11.189556
-5.176927,24.82294,-0.15693356
-7.511949,-12.066001,-6.8871922
-4.844744,1.5313162,7.010015
1.9712564,3.9585536,-11.99008
-11.704228,10.681149,13.007288
4.538844,12.613535,2.903934
3.7337565,0.6354384,20.329893
-4.591242,-3.6101425,-4.1032014
17.434305,-9.173652,-11.996793
16.576948,9.910243,-13.825959
5.3689656,-6.892102,-15.093338
3.7143054,5.8833175,14.3646
1.4468176,9.404773,-24.185183
2.001709,-20.557308,-9.578459
13.960535,19.289007,10.67412
2.2269979,-6.1028924,-20.05683
-11.071035,4.1038527,-16.07709
-4.3490496,14.1092415,-7.5244455
-3.277223,-17.515568,-8.262771
-1.4989127,-11.331095,8.713023
17.22072,-15.57075,-8.895506
-4.5364447,14.995154,-0.8548408
-16.278461,-2.330578,-1.3386321
-6.6753306,-11.623425,-8.480911
1.6381774,5.9493437,8.574871
-3.0386806,-22.262758,-2.641265
15.064103,-2.999928,12.387109
-3.3789577,-11.805728,-7.179829
1.7927148,-7.233194,13.307706
2.9366097,24.008045,0.92225105
19.714413,3.4273694,-10.978424
-0.41595525,12.790218,4.6041336
14.894441,2.353907,11.658044
22.375742,7.6930156,-7.9395947
2.5102484,-18.350782,15.099509
2.4053366,-3.7149837,-23.609987
-7.7675314,18.775616,-16.995235
-5.580832,2.2780879,-25.271038
-7.871075,3.79934,20.465895
-5.975459,-7.1463637,-17.93162
-0.90111625,3.9939117,-19.699768
-19.041403,-7.483625,-2.2860494
-18.322433,-10.297706,-3.5738723
5.410398,-16.50114,-1.9635866
8.60075,8.992362,-12.289058
5.2924147,-13.99515,-3.3625278
-13.519066,13.640262,8.907639
23.523933,10.969668,3.6365755
3.0341768,1.8663887,10.749785
-14.153448,-5.426149,16.452269
-8.576072,-10.15434,-7.51838
12.273964,10.1725645,17.153393
-6.224357,25.3677,-1.3644063
-16.798786,4.31978,9.147619
-2.2686985,-8.609556,-26.546417
-5.1655254,17.585327,18.797262
12.562432,-21.936777,-3.9316013
-5.5302167,5.5443025,9.998866
9.603763,-11.566954,10.933371
6.183185,-4.7493587,7.1468196
12.680611,4.751263,-1.4323266
4.729603,4.5610204,1.7471579
8.72623,12.333531,15.450167
-18.651608,10.310368,-0.80284506
-20.755653,1.9744668,17.83242
1.4538543,6.153177,5.7966104
-12.871474,2.0051746,7.1021276
-2.0044208,5.3335605,11.4662
1.9492453,3.9095337,4.7010875
-10.302144,-0.52769446,-21.99752
9.456719,10.475253,19.980616
-9.006978,5.1477995,9.611452
-4.5631065,17.54383,5.480923
12.236019,-3.2768438,-14.319359
6.913943,-0.8092733,10.764967
11.563032,0.7907078,7.420321
1.1857402,-13.604367,-13.77278
11.500984,12.062705,-8.438464
8.318517,-12.088687,3.0595
-6.300827,2.9476411,-24.691254
-11.015117,2.0769331,-9.39475
-2.078642,0.59596974,-13.203033
16.350994,-4.470964,-7.9038367
-8.866875,16.42668,-4.824861
-1.1812248,-1.4261255,9.22481
-26.487446,-4.789375,-2.2622318
9.709557,3.3848183,-9.594242
-15.793701,-15.014625,-5.448432
-5.989602,-17.548626,-14.273874
-8.556043,-20.768911,-2.598273
10.58752,12.31826,19.041632
-8.889236,6.6548543,21.095844
1.8627185,1.222523,-0.23405029
-13.074566,-9.677899,8.763658
-0.28660497,6.637967,-2.4299111
-13.031689,-9.757278,8.979321
3.2791986,-15.033613,-13.145143
-19.41669,9.198933,-12.225537
6.5071907,-8.7293005,13.798578
7.028986,11.664192,-14.364001
1.6232512,15.411914,-0.28055933
-14.2797785,1.8593453,20.116718
9.73614,12.763916,-7.3256493
6.2289505,-22.988142,8.486783
-12.492704,9.733811,-10.643803
-17.869156,-17.003227,5.434132
2.9206204,19.741865,-2.2241771
7.161971,-1.175815,0.6486345
14.009171,-12.750039,4.8851304
1.4822348,-5.4590483,11.3840065
-3.5279999,-0.006821017,-10.775655
20.887266,3.1661105,-2.2420685
18.797113,17.023561,-6.4420443
-12.849055,-12.039246,-13.786299
-19.256618,0.76605505,14.262759
-6.281166,5.0058565,-9.191257
18.428852,-9.110404,-0.6084706
-0.84063846,2.2274528,-8.15489
-22.207773,8.281498,-4.0789747
2.2585711,-14.952124,19.304455
-6.0930223,10.967548,2.686917
8.031095,9.818038,3.4525616
15.698754,8.7872925,-6.46952
-23.50378,2.9514024,-0.04470812
0.33501107,-21.700985,-4.3847322
-6.673433,4.999886,15.138754
22.553516,2.2893348,1.2710692
10.840646,4.7271075,-2.5805597
0.81284356,9.660209,24.192713
7.1368895,2.031386,-15.139371
-6.839409,0.9404231,13.607741
-3.1984327,-0.45410463,1.4247624
-3.8762617,-13.904815,7.696301
3.923159,23.551748,2.896137
-7.8580613,6.5690975,1.1531028
11.391385,-2.0516722,24.703787
0.4502918,-7.935911,4.416423
1.1302502,14.607443,-12.438079
1.8297386,17.565037,15.232997
-2.707501,0.7408349,7.214553
-23.462328,7.592249,5.7630744
-12.683089,-9.916646,6.8744407
15.116867,-5.607425,8.276078
-13.450107,-16.413984,-1.5092635
4.8364415,-11.734334,15.069105
-6.8733582,14.288544,-15.598696
15.743329,2.1917129,6.208674
-1.1915869,-10.834627,-20.692465
-6.44959,-10.05327,14.665083
-25.195976,-0.69711465,10.688131
15.388517,2.3133454,7.574265
-9.206308,-8.204125,-12.019465
-1.6071354,-16.336975,10.156854
-15.566431,7.869011,0.035946906
-6.6733546,22.411137,-4.7587156
